CM020909.1	CM020909.1:900000	800000	900000	177	0.000754	-0.002761	-0.000200
CM020909.1	CM020909.1:950000	850000	950000	646	0.001111	0.003800	0.002634
CM020909.1	CM020909.1:1000000	900000	1000000	470	0.001077	0.016717	0.007828
CM020909.1	CM020909.1:1100000	1000000	1100000	6	0.002894	0.004061	0.003030
CM020909.1	CM020909.1:1150000	1050000	1150000	6	0.002894	0.004061	0.003030
CM020909.1	CM020909.1:1550000	1450000	1550000	74	0.027434	-0.030987	0.192496
CM020909.1	CM020909.1:1600000	1500000	1600000	74	0.027434	-0.030987	0.192496
CM020909.1	CM020909.1:1800000	1700000	1800000	135	0.004435	-0.001691	0.005009
CM020909.1	CM020909.1:1850000	1750000	1850000	135	0.004435	-0.001691	0.005009
CM020909.1	CM020909.1:2400000	2300000	2400000	133	0.002794	0.018925	0.002349
CM020909.1	CM020909.1:2450000	2350000	2450000	133	0.002794	0.018925	0.002349
CM020909.1	CM020909.1:2600000	2500000	2600000	120	0.002134	0.023193	0.003007
CM020909.1	CM020909.1:2650000	2550000	2650000	120	0.002134	0.023193	0.003007
CM020909.1	CM020909.1:3050000	2950000	3050000	98	-0.001090	0.000625	0.006231
CM020909.1	CM020909.1:3100000	3000000	3100000	98	-0.001090	0.000625	0.006231
CM020909.1	CM020909.1:3150000	3050000	3150000	171	0.000522	-0.000261	0.004620
CM020909.1	CM020909.1:3200000	3100000	3200000	348	0.003842	0.002821	0.001896
CM020909.1	CM020909.1:3250000	3150000	3250000	178	0.003860	0.002837	0.001880
CM020909.1	CM020909.1:3300000	3200000	3300000	4	0.003492	0.001896	0.006409
CM020909.1	CM020909.1:3350000	3250000	3350000	4	0.003492	0.001896	0.006409
CM020909.1	CM020909.1:3500000	3400000	3500000	65	0.084101	-0.065385	0.210519
CM020909.1	CM020909.1:3550000	3450000	3550000	65	0.084101	-0.065385	0.210519
CM020909.1	CM020909.1:3900000	3800000	3900000	44	0.006785	0.003036	-0.000159
CM020909.1	CM020909.1:3950000	3850000	3950000	44	0.006785	0.003036	-0.000159
CM020909.1	CM020909.1:4300000	4200000	4300000	3	0.000315	0.011607	0.005416
CM020909.1	CM020909.1:4350000	4250000	4350000	73	0.000315	0.011607	0.005416
CM020909.1	CM020909.1:4400000	4300000	4400000	71	0.002565	0.023632	0.002577
CM020909.1	CM020909.1:4550000	4450000	4550000	23	0.002255	-0.001666	0.002887
CM020909.1	CM020909.1:4600000	4500000	4600000	23	0.002255	-0.001666	0.002887
CM020909.1	CM020909.1:4800000	4700000	4800000	18	-0.010757	0.010294	0.015898
CM020909.1	CM020909.1:4850000	4750000	4850000	18	-0.010757	0.010294	0.015898
CM020909.1	CM020909.1:5000000	4900000	5000000	88	0.141938	0.085606	-0.029270
CM020909.1	CM020909.1:5050000	4950000	5050000	88	0.141938	0.085606	-0.029270
CM020909.1	CM020909.1:5150000	5050000	5150000	91	0.002704	-0.002787	0.002437
CM020909.1	CM020909.1:5200000	5100000	5200000	91	0.002704	-0.002787	0.002437
CM020909.1	CM020909.1:5900000	5800000	5900000	159	0.013922	0.013144	-0.005767
CM020909.1	CM020909.1:5950000	5850000	5950000	159	0.013922	0.013144	-0.005767
CM020909.1	CM020909.1:6700000	6600000	6700000	51	0.002385	-0.002849	0.002757
CM020909.1	CM020909.1:6750000	6650000	6750000	51	0.002385	-0.002849	0.002757
CM020909.1	CM020909.1:6850000	6750000	6850000	74	0.007345	0.005733	-0.001727
